Date,Total Records,Status,Verification,High,Low,Close,Next High,Next Low,Next Close
01/20/2022,75504,completed,passed,2936.58,2884,2931.34,2962.44,2906.19,2920.51
01/23/2022,87391,completed,passed,2962.44,2906.19,2920.51,2926.21,2803.72,2820.65
01/24/2022,113048,completed,passed,2926.21,2803.72,2820.65,2857.91,2781.01,2815.06
01/25/2022,72270,completed,passed,2857.91,2781.01,2815.06,2819.74,2760.88,2776.65
01/26/2022,60903,completed,passed,2819.74,2760.88,2776.65,2804.07,2776.74,2779.98
01/27/2022,50817,completed,passed,2804.07,2776.74,2779.98,2885.62,2805.01,2885.53
01/30/2022,81549,completed,passed,2885.62,2805.01,2885.53,2909.13,2860.7,2871.05
01/31/2022,69661,completed,passed,2909.13,2860.7,2871.05,2897.18,2855.95,2891.3
02/01/2022,80678,completed,passed,2897.18,2855.95,2891.3,2925.05,2870.64,2876.74
02/03/2022,108239,completed,passed,2925.05,2870.64,2876.74,2877.04,2829.1,2836.17
02/06/2022,73083,completed,passed,2877.04,2829.1,2836.17,2853.78,2822.52,2851.86
02/07/2022,66031,completed,passed,2853.78,2822.52,2851.86,2921.35,2825.96,2835.58
02/08/2022,71232,completed,passed,2921.35,2825.96,2835.58,2837.35,2799.96,2813.52
02/09/2022,45055,completed,passed,2837.35,2799.96,2813.52,2825.34,2790.9,2801.56
02/10/2022,48948,completed,passed,2825.34,2790.9,2801.56,2784.19,2696.65,2700.89
02/13/2022,81739,completed,passed,2784.19,2696.65,2700.89,2729.26,2694.31,2700.98
02/14/2022,49794,completed,passed,2729.26,2694.31,2700.98,2754.5,2703.27,2754.29
02/15/2022,43441,completed,passed,2754.5,2703.27,2754.29,2772.11,2725.16,2734.44
02/16/2022,39566,completed,passed,2772.11,2725.16,2734.44,2745.37,2723.17,2732.52
02/17/2022,34256,completed,passed,2745.37,2723.17,2732.52,2715.82,2669.32,2693.1
02/20/2022,56876,completed,passed,2715.82,2669.32,2693.1,2719.07,2693.83,2718.51
02/21/2022,40758,completed,passed,2719.07,2693.83,2718.51,2750.3,2719.88,2735.93
02/22/2022,48027,completed,passed,2750.3,2719.88,2735.93,2747.56,2715.91,2720.43
02/23/2022,48818,completed,passed,2747.56,2715.91,2720.43,2715.82,2654.37,2661.44
02/24/2022,64879,completed,passed,2715.82,2654.37,2661.44,2680.39,2638.01,2653.7
02/27/2022,49572,completed,passed,2680.39,2638.01,2653.7,2683.75,2606.62,2610.6
02/28/2022,54029,completed,passed,2683.75,2606.62,2610.6,2612.5,2542.1,2547.04
03/02/2022,55083,completed,passed,2612.5,2542.1,2547.04,2568.62,2527.97,2543.39
03/06/2022,45540,completed,passed,2568.62,2527.97,2543.39,2566.63,2538.28,2544.93
03/07/2022,40082,completed,passed,2566.63,2538.28,2544.93,2557.55,2504.37,2514.58
03/09/2022,39713,completed,passed,2557.55,2504.37,2514.58,2566.9,2498.45,2566.9
03/10/2022,43462,completed,passed,2566.9,2498.45,2566.9,2667.97,2575.21,2667.97
03/13/2022,64495,completed,passed,2667.97,2575.21,2667.97,2683.41,2650.23,2668.11
03/14/2022,18565,completed,passed,2683.41,2650.23,2668.11,2677.36,2637.15,2650.97
03/15/2022,46216,completed,passed,2677.36,2637.15,2650.97,2661.28,2625.96,2631.32
03/16/2022,36949,completed,passed,2661.28,2625.96,2631.32,2644.46,2607.74,2616.58
03/20/2022,35151,completed,passed,2644.46,2607.74,2616.58,2634.66,2600.92,2634.65
03/21/2022,37875,completed,passed,2634.66,2600.92,2634.65,2658.05,2634.41,2650.7
03/22/2022,36686,completed,passed,2658.05,2634.41,2650.7,2654.48,2622.69,2630.36
03/23/2022,29633,completed,passed,2654.48,2622.69,2630.36,2639.01,2611.18,2613.67
03/24/2022,45014,completed,passed,2639.01,2611.18,2613.67,2642.32,2567.75,2572.23
03/27/2022,62058,completed,passed,2642.32,2567.75,2572.23,2580.33,2537.87,2542.28
03/28/2022,42648,completed,passed,2580.33,2537.87,2542.28,2562.4,2519.89,2527.58
03/29/2022,31359,completed,passed,2562.4,2519.89,2527.58,2568.25,2515.8,2568.25
03/30/2022,36753,completed,passed,2568.25,2515.8,2568.25,2584.54,2538.13,2544.3
03/31/2022,37384,completed,passed,2584.54,2538.13,2544.3,2547.04,2509.76,2513.41
04/03/2022,28039,completed,passed,2547.04,2509.76,2513.41,2525.54,2495.84,2497.47
04/04/2022,31485,completed,passed,2525.54,2495.84,2497.47,2507.77,2434.27,2452.06
04/05/2022,45753,completed,passed,2507.77,2434.27,2452.06,2458.35,2416.38,2428.75
04/06/2022,38177,completed,passed,2458.35,2416.38,2428.75,2476.37,2427.71,2464.31
04/07/2022,42420,completed,passed,2476.37,2427.71,2464.31,2510.13,2415.9,2419.71
04/11/2022,40412,completed,passed,2510.13,2415.9,2419.71,2428.8,2379.48,2385.02
04/12/2022,31476,completed,passed,2428.8,2379.48,2385.02,2415.35,2366.94,2415.24
04/13/2022,28873,completed,passed,2415.35,2366.94,2415.24,2437.67,2379.53,2385.64
04/17/2022,28974,completed,passed,2437.67,2379.53,2385.64,2387.51,2341.92,2343.87
04/18/2022,31746,completed,passed,2387.51,2341.92,2343.87,2372.32,2314.42,2357.24
04/19/2022,27753,completed,passed,2372.32,2314.42,2357.24,2367.25,2316.69,2320.51
04/20/2022,32435,completed,passed,2367.25,2316.69,2320.51,2333.93,2286.6,2325.45
04/21/2022,36115,completed,passed,2333.93,2286.6,2325.45,2430.28,2331.51,2420.91
04/24/2022,43335,completed,passed,2430.28,2331.51,2420.91,2444.55,2381.93,2386.01
04/25/2022,46324,completed,passed,2444.55,2381.93,2386.01,2402.23,2358.76,2370.99
04/26/2022,25698,completed,passed,2402.23,2358.76,2370.99,2376.63,2348.57,2376.17
04/27/2022,23481,completed,passed,2376.63,2348.57,2376.17,2390.27,2351.48,2356.17
